"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AQP4",8.11714576995778e-254,2.93093712777157,0.953,0.191,1.97904131017341e-249,"0","AQP4"
"C1QL1",2.26101290678326e-253,3.71153697779483,0.88,0.163,5.51257556802827e-249,"0","C1QL1"
"GFAP",1.3015400920472e-223,2.97763075028627,0.989,0.402,3.17328489842028e-219,"0","GFAP"
"F3",3.2510813290821e-221,2.90359996168477,0.942,0.263,7.92646138843506e-217,"0","F3"
"ITM2C",1.43542429514024e-218,2.82518871784533,0.996,0.398,3.49970797398142e-214,"0","ITM2C"
"WLS",3.79086772195865e-213,2.80127432275364,0.893,0.22,9.24251459290739e-209,"0","WLS"
"CNN3",1.50023118809069e-209,2.38601518667325,0.991,0.488,3.65771365968392e-205,"0","CNN3"
"FADS2",3.28007686480038e-206,3.50405593900013,0.733,0.12,7.99715540406982e-202,"0","FADS2"
"FABP7",3.69189528401589e-204,2.54692879256115,0.984,0.329,9.00120989195914e-200,"0","FABP7"
"PTPRZ1",6.59963604923891e-202,2.19116730696304,0.989,0.311,1.60905726516494e-197,"0","PTPRZ1"
"OLFM2",8.15613584512248e-202,2.61876617528635,0.893,0.215,1.98854748039931e-197,"0","OLFM2"
"FXYD6",9.7776995050864e-201,2.54849749592954,0.889,0.214,2.38390091633511e-196,"0","FXYD6"
"ATP1B2",1.05233585317521e-197,2.75215141571184,0.849,0.195,2.56570004362647e-193,"0","ATP1B2"
"MLC1",4.00188202094105e-196,2.99328024559305,0.744,0.126,9.75698855525638e-192,"0","MLC1"
"PCSK1N",4.32115015713253e-195,2.39071656515381,1,0.526,1.05353961981048e-190,"0","PCSK1N"
"BCAN",1.52676444733045e-193,2.67215907630681,0.882,0.22,3.72240439903637e-189,"0","BCAN"
"BBOX1",1.17094551155973e-191,3.026269301127,0.719,0.118,2.85488225173378e-187,"0","BBOX1"
"CHL1",4.86980307738564e-190,2.32671244957275,0.935,0.264,1.18730668829739e-185,"0","CHL1"
"PMP2",6.28740347966079e-187,2.54677480311444,0.991,0.521,1.5329318423761e-182,"0","PMP2"
"TGFB2",1.40996230789918e-184,3.20722912613688,0.737,0.14,3.43762910288899e-180,"0","TGFB2"
"GAP43",8.42271318817758e-184,2.21992703088049,0.962,0.316,2.05354170240958e-179,"0","GAP43"
"RAMP1",3.90713396426709e-183,2.42148813790035,0.933,0.299,9.52598331827958e-179,"0","RAMP1"
"SPARCL1",1.56256861993957e-181,2.3163892178777,0.949,0.28,3.80969855227468e-177,"0","SPARCL1"
"DCLK1",3.93052071738683e-178,2.66993902482613,0.855,0.224,9.58300256106083e-174,"0","DCLK1"
"TRIM47",4.75142283884482e-177,2.53651784593822,0.909,0.303,1.15844440233875e-172,"0","TRIM47"
"GPM6A",4.6090828867931e-176,1.89122422541108,0.969,0.297,1.12374049862902e-171,"0","GPM6A"
"RGMA",1.2663439228822e-175,3.09974131256218,0.65,0.101,3.08747311837908e-171,"0","RGMA"
"CD99",1.95550600552348e-174,1.90426802433955,1,0.591,4.76771919206679e-170,"0","CD99"
"ID3",2.91100652058696e-170,2.48476516539246,0.947,0.371,7.09732499784308e-166,"0","ID3"
"C1orf61",5.38792135519844e-169,2.52035319988649,0.967,0.431,1.31362910561093e-164,"0","C1orf61"
"HOPX",7.79975437032415e-169,3.00888683175661,0.797,0.199,1.90165811302873e-164,"0","HOPX"
"EMID1",9.49334983020716e-166,2.48306540220171,0.793,0.189,2.31457362210281e-161,"0","EMID1"
"BGN",1.64111173385101e-165,1.53214948997966,0.844,0.205,4.00119451830215e-161,"0","BGN"
"RHOC",3.64455842263681e-161,1.91951224281947,0.978,0.525,8.8857978902308e-157,"0","RHOC"
"CNR1",2.15525933780137e-159,2.75344238045761,0.61,0.094,5.25473779149351e-155,"0","CNR1"
"PTN",1.53654921815955e-157,1.9018867552798,0.993,0.595,3.7462606487948e-153,"0","PTN"
"S100A10",3.28665527371753e-156,1.86440216052744,0.996,0.611,8.0131942228507e-152,"0","S100A10"
"SCN1A",5.21507502439099e-156,2.99876339639284,0.59,0.091,1.27148744169677e-151,"0","SCN1A"
"PDLIM4",1.34930427129055e-155,2.09720774410439,0.875,0.247,3.28973874383349e-151,"0","PDLIM4"
"TESC",8.79602465129102e-155,3.34139834883526,0.588,0.094,2.14455877023126e-150,"0","TESC"
"NPSR1",1.25912004923871e-154,5.00820122409342,0.336,0.012,3.06986059204889e-150,"0","NPSR1"
"C2orf72",2.20280345292412e-152,3.04739679097657,0.586,0.094,5.37065509857431e-148,"0","C2orf72"
"CLU",1.47001277360446e-150,1.71500198317342,1,0.762,3.58403814332503e-146,"0","CLU"
"HEY1",1.88686468765685e-150,2.40259298636992,0.844,0.257,4.60036479497618e-146,"0","HEY1"
"NSG1",1.001645059519e-149,3.11171165332769,0.655,0.137,2.44211081961328e-145,"0","NSG1"
"CRISPLD1",2.01410910075326e-149,2.76849418785671,0.684,0.143,4.91059939854653e-145,"0","CRISPLD1"
"NPDC1",7.71466727076466e-149,2.06998815586093,0.933,0.382,1.88091302728513e-144,"0","NPDC1"
"PRRX1",1.51506038256953e-148,2.15485445629875,0.84,0.237,3.69386871874277e-144,"0","PRRX1"
"IGFBP7",5.40541791367199e-148,1.0635528393022,0.969,0.293,1.31789494153237e-143,"0","IGFBP7"
"INAFM1",2.27851872156907e-147,1.91917966478015,0.944,0.393,5.55525649505756e-143,"0","INAFM1"
"SOX9",7.51677281275196e-146,1.93144192421144,0.895,0.28,1.83266437947706e-141,"0","SOX9"
"HSPB6",6.25953209993622e-145,2.62263471856893,0.67,0.137,1.52613652128545e-140,"0","HSPB6"
"DCLK2",1.42597365348986e-143,2.26632096826382,0.722,0.169,3.47666636457363e-139,"0","DCLK2"
"TIMP3",2.74799494301487e-143,1.65298218863313,0.844,0.231,6.69988647056457e-139,"0","TIMP3"
"FHL1",2.80809616502332e-143,2.26554323172493,0.84,0.273,6.84641925994336e-139,"0","FHL1"
"ABCC3",8.25559575971636e-142,2.07431743253383,0.806,0.213,2.01279680217645e-137,"0","ABCC3"
"BAALC",1.60154593601708e-141,1.85189895587114,0.964,0.456,3.90472914660325e-137,"0","BAALC"
"C1R",4.49413830007835e-141,1.65745930741044,0.911,0.279,1.0957158589421e-136,"0","C1R"
"AGT",6.4446281902066e-141,2.20023402278887,0.851,0.286,1.57126479905427e-136,"0","AGT"
"GPC1",8.56570938516323e-141,2.27845624429027,0.882,0.35,2.08840560519665e-136,"0","GPC1"
"PON2",1.62733395097435e-140,1.79415197496364,0.967,0.548,3.96760290587057e-136,"0","PON2"
"NRCAM",5.54533321258627e-140,1.76959001400142,0.906,0.306,1.35200769056066e-135,"0","NRCAM"
"RAMP3",8.04021916484347e-140,2.78555531329061,0.599,0.11,1.96028583458049e-135,"0","RAMP3"
"CDH11",1.46018000490803e-139,2.33687265193796,0.748,0.196,3.56006486996626e-135,"0","CDH11"
"DTNA",3.71508515938767e-139,1.94799371872703,0.902,0.338,9.05774912710308e-135,"0","DTNA"
"COL6A1",8.43042779103241e-138,1.52682689035775,0.855,0.245,2.05542259973161e-133,"0","COL6A1"
"MAOB",3.69533986228387e-137,1.99311253074446,0.82,0.239,9.0096081182343e-133,"0","MAOB"
"EDNRB",1.44734445852624e-136,2.5550623683546,0.655,0.141,3.52877052433282e-132,"0","EDNRB"
"SCRG1",3.15247435654156e-136,1.76658611888327,0.967,0.442,7.68604772868397e-132,"0","SCRG1"
"PPP1R1B",4.11166351669645e-134,3.1321966519033,0.49,0.067,1.00246468200576e-129,"0","PPP1R1B"
"THY1",9.82947246370968e-134,1.94857251477188,0.771,0.209,2.39652368137706e-129,"0","THY1"
"ACTN1",1.26480463512787e-131,1.71766739053393,0.92,0.347,3.08372018090526e-127,"0","ACTN1"
"RAP1GAP",2.28242126710989e-131,2.70777813876808,0.572,0.104,5.56477129134061e-127,"0","RAP1GAP"
"CHI3L1",4.24852294578799e-130,1.81904100072864,0.964,0.455,1.03583237941257e-125,"0","CHI3L1"
